"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
20,156.148,-41.8618,202.735,-0.0261176,-0.0585304,0.0327924,0.000504305,0.000722399,0.00171362,0.00336869,154.847,-42.2178,141.57,-0.00931814,-0.033484,0.0256506,0.000415268,0.000621811,0.00151271,0.00265855,153.606,-39.1175,83.7712,-0.00667883,-0.0161587,0.0100388,0.000315131,0.000476317,0.0012043,0.00180099,151.666,-40.5709,24.6659,0.0100682,-0.00235804,0.0083659,0.000306548,0.000498049,0.00123202,0.00168561,4.34404,-12.4706,0.00698889,-0.00242772,-0.0032949,-0.00689507,0.000954997,0.00101488,0.00239352,0.00331011
21,156.148,-41.8618,202.735,0.147418,-0.00904582,-0.0944084,0.000500606,0.000719661,0.00170807,0.00336603,154.847,-42.2178,141.57,0.110876,0.00509367,-0.0996567,0.000404408,0.000601229,0.00146307,0.00257598,153.606,-39.1175,83.7712,0.0639377,0.00575691,-0.11908,0.000332265,0.00050494,0.00127675,0.0019003,151.666,-40.5709,24.6659,0.0287724,0.00810363,-0.112977,0.000311242,0.000504614,0.00124795,0.00171337,4.34404,-12.4706,0.00698889,-0.00390307,-0.0069797,-0.00950036,0.000957649,0.000999554,0.00235432,0.00325878
22,156.148,-41.8618,202.735,-0.314586,-0.0403891,0.237859,0.000493886,0.000713688,0.00169377,0.00331902,154.847,-42.2178,141.57,-0.210949,-0.0109122,0.224861,0.000427507,0.000638073,0.00155254,0.00272955,153.606,-39.1175,83.7712,-0.125161,0.00841379,0.205295,0.000328358,0.000497464,0.00125876,0.00187592,151.666,-40.5709,24.6659,-0.0246031,0.0265437,0.204936,0.000292979,0.000475233,0.00117501,0.00161105,4.34404,-12.4706,0.00698889,-0.00221838,-0.00565334,-0.0146861,0.000946339,0.000966885,0.00227672,0.00315393
23,156.148,-41.8618,202.735,-0.0163327,0.00192954,0.0130178,0.00050074,0.000725184,0.00172001,0.00338509,154.847,-42.2178,141.57,-0.00494559,0.0190194,0.0037705,0.000424186,0.000632629,0.00153949,0.00270656,153.606,-39.1175,83.7712,-0.00411521,0.0184481,-0.0176673,0.000324086,0.000489957,0.00124022,0.00185016,151.666,-40.5709,24.6659,0.00604682,0.0226631,-0.00880389,0.00031191,0.000504591,0.00124644,0.00171905,4.34404,-12.4706,0.00698889,-0.00329703,-0.00827518,-0.0132725,0.000980264,0.0010007,0.00235851,0.00326754
24,156.148,-41.8618,202.735,-0.111768,-0.028064,0.0804491,0.000494304,0.000712917,0.00168901,0.00334216,154.847,-42.2178,141.57,-0.0725556,-0.00316136,0.0679468,0.000414202,0.000618184,0.0015045,0.00264608,153.606,-39.1175,83.7712,-0.0444741,0.0058594,0.0484046,0.000324834,0.000492503,0.00124613,0.00185278,151.666,-40.5709,24.6659,-0.00784497,0.0204482,0.0606241,0.000318633,0.000518333,0.00128092,0.00175391,4.34404,-12.4706,0.00698889,-0.00179127,-0.0037594,-0.00932419,0.000972146,0.00102015,0.00240604,0.00332403
25,156.148,-41.8618,202.735,-0.125477,-0.100238,0.0630473,0.000493038,0.000707241,0.0016781,0.00330508,154.847,-42.2178,141.57,-0.0845846,-0.0556112,0.0508114,0.000404953,0.000600618,0.00146228,0.0025763,153.606,-39.1175,83.7712,-0.0530894,-0.0315311,0.0326679,0.000340488,0.000518609,0.00131278,0.00193382,151.666,-40.5709,24.6659,-0.0160207,-0.000639882,0.0446603,0.000335941,0.000545772,0.00134796,0.00184988,4.34404,-12.4706,0.00698889,-0.003821,-0.00816189,-0.0179134,0.000958487,0.00100481,0.00236892,0.00327341
26,156.148,-41.8618,202.735,-0.169287,-0.03758,0.116263,0.000511081,0.000734817,0.00174571,0.00342505,154.847,-42.2178,141.57,-0.114783,-0.00857966,0.0995787,0.000413138,0.000609936,0.00148678,0.00261574,153.606,-39.1175,83.7712,-0.0698802,0.00263678,0.0819599,0.000330735,0.000500173,0.00126692,0.00188706,151.666,-40.5709,24.6659,-0.0189454,0.0220131,0.0956327,0.000312196,0.000506673,0.00125042,0.00172431,4.34404,-12.4706,0.00698889,0.000280619,0.000123708,-0.00237823,0.000952731,0.000996409,0.00234905,0.00324457
27,156.148,-41.8618,202.735,-0.0518399,-0.0616705,0.0126934,0.000475326,0.00068185,0.00161884,0.00319636,154.847,-42.2178,141.57,-0.0347434,-0.0285816,-0.0032269,0.000419694,0.000627134,0.00152594,0.00268187,153.606,-39.1175,83.7712,-0.0239067,-0.0180334,-0.0207893,0.000319268,0.000481142,0.00121853,0.00182153,151.666,-40.5709,24.6659,-0.0107274,0.00343442,-0.00731956,0.000305603,0.00049412,0.00122106,0.00168251,4.34404,-12.4706,0.00698889,-0.00258961,-0.00688904,-0.0134416,0.00094102,0.000982898,0.00231682,0.00320542
28,156.148,-41.8618,202.735,-0.196014,-0.00501636,0.128123,0.000474093,0.000683907,0.00162311,0.00319727,154.847,-42.2178,141.57,-0.134754,0.0159455,0.106316,0.000437164,0.000646883,0.00157675,0.00276903,153.606,-39.1175,83.7712,-0.0820088,0.0210515,0.0951953,0.000323919,0.000490672,0.00124119,0.00185288,151.666,-40.5709,24.6659,-0.0247772,0.0339584,0.107533,0.000301317,0.000487181,0.00120369,0.00165869,4.34404,-12.4706,0.00698889,-0.00154385,-0.00350574,-0.0092411,0.000967152,0.00100942,0.0023793,0.00329348
29,156.148,-41.8618,202.735,0.0316562,-0.0666418,-0.0611666,0.000507356,0.00072976,0.00172983,0.00341306,154.847,-42.2178,141.57,0.022806,-0.0304581,-0.0782987,0.000414229,0.000613892,0.00149541,0.0026227,153.606,-39.1175,83.7712,0.00951879,-0.0163829,-0.087833,0.000316215,0.000479368,0.0012129,0.00180593,151.666,-40.5709,24.6659,-0.0026354,0.00780201,-0.0736229,0.000309297,0.000501101,0.00123754,0.00170452,4.34404,-12.4706,0.00698889,-0.00320716,-0.00669217,-0.0108289,0.000973216,0.0010306,0.00243208,0.00336005
