"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
20,158.862,-30.2095,207.209,0.151996,-0.0378856,0.00808358,0.000508624,0.000742212,0.00173228,0.00345921,154.748,-29.098,146.588,0.113288,-0.0821622,0.034494,0.000448154,0.000658023,0.00160324,0.00282811,154.12,-25.9317,88.9173,0.0173389,-0.127719,-0.00347004,0.000315693,0.000472808,0.00118641,0.00181026,153.826,-29.4699,32.1244,-0.0282269,-0.000514769,-0.029744,0.000299939,0.000483276,0.00118711,0.00164899,4.55931,-16.8579,0.00151202,-0.000480979,0.00255556,0.00198432,0.000983729,0.00101816,0.00240649,0.00326624
21,158.862,-30.2095,207.209,0.167403,0.051153,0.00730054,0.00050814,0.000740406,0.00172617,0.00345449,154.748,-29.098,146.588,0.128852,-0.0202862,0.0472398,0.000443974,0.000649041,0.00158304,0.00278549,154.12,-25.9317,88.9173,0.0220573,-0.0928762,-0.00305368,0.000314372,0.000472972,0.00118726,0.00180915,153.826,-29.4699,32.1244,-0.0260782,0.025183,-0.0232226,0.000302488,0.000487055,0.00119574,0.0016659,4.55931,-16.8579,0.00151202,0.00179905,0.00715067,0.0131788,0.000968032,0.00100465,0.00237551,0.00322338
22,158.862,-30.2095,207.209,0.20741,-0.0471723,-0.0516215,0.000506181,0.000742396,0.00173166,0.00345312,154.748,-29.098,146.588,0.15958,-0.100905,0.00655372,0.000444387,0.000648377,0.00158094,0.00278601,154.12,-25.9317,88.9173,0.0348212,-0.155634,-0.0494755,0.000318245,0.000477329,0.00119779,0.00182964,153.826,-29.4699,32.1244,-0.0250418,-0.009729,-0.0704748,0.000307317,0.000493851,0.00121245,0.00169035,4.55931,-16.8579,0.00151202,-0.00107669,0.00121232,0.000618721,0.000964688,0.0010071,0.00238042,0.00322672
23,158.862,-30.2095,207.209,0.342307,0.041893,-0.141321,0.000499919,0.000730275,0.00170321,0.00339518,154.748,-29.098,146.588,0.259046,-0.0430807,-0.065933,0.000430277,0.000631696,0.00153925,0.0027118,154.12,-25.9317,88.9173,0.0921839,-0.124924,-0.129386,0.000325802,0.000486041,0.00121967,0.00186559,153.826,-29.4699,32.1244,-0.0036885,0.0095123,-0.14377,0.000308218,0.000496923,0.0012201,0.00169745,4.55931,-16.8579,0.00151202,0.000842624,0.00555387,0.0137952,0.000948926,0.001006,0.00237932,0.00322239
24,158.862,-30.2095,207.209,0.0721955,0.0711172,0.0460249,0.000491345,0.000717632,0.00167548,0.00333737,154.748,-29.098,146.588,0.0717385,-0.0252427,0.135667,0.00043219,0.000636112,0.00155099,0.00273326,154.12,-25.9317,88.9173,-0.0234437,-0.113149,0.0628859,0.000321668,0.000479466,0.00120386,0.00184215,153.826,-29.4699,32.1244,-0.0444931,0.023773,0.0454511,0.000305989,0.000493936,0.00121352,0.00168637,4.55931,-16.8579,0.00151202,0.000566982,0.000910967,0.00150033,0.000950713,0.000993223,0.00235108,0.003186
25,158.862,-30.2095,207.209,0.261788,0.116758,-0.0852513,0.000490688,0.00071872,0.00167777,0.0033473,154.748,-29.098,146.588,0.210006,0.00183272,0.0253379,0.000438319,0.000641722,0.00156517,0.00276546,154.12,-25.9317,88.9173,0.0586753,-0.101992,-0.0583022,0.000342126,0.0005079,0.00127542,0.00195326,153.826,-29.4699,32.1244,-0.0146942,0.029166,-0.073204,0.000313649,0.000501883,0.00123143,0.00171889,4.55931,-16.8579,0.00151202,0.000724826,0.00174436,0.00913316,0.000944949,0.000998618,0.00236297,0.00320168
26,158.862,-30.2095,207.209,0.146945,-0.00447577,-0.000919447,0.000490382,0.000711259,0.00166044,0.00331494,154.748,-29.098,146.588,0.131873,-0.0875394,0.130917,0.00044935,0.000660162,0.00160909,0.00283736,154.12,-25.9317,88.9173,0.012966,-0.165489,0.0326261,0.00035287,0.000526261,0.0013213,0.00202076,153.826,-29.4699,32.1244,-0.0304798,0.00145148,0.0108633,0.000318295,0.000508635,0.00124755,0.00174316,4.55931,-16.8579,0.00151202,0.00150372,0.00731444,0.0101218,0.000960227,0.00100475,0.0023784,0.00322566
27,158.862,-30.2095,207.209,0.452502,0.0408861,-0.205795,0.000486613,0.000705449,0.00164581,0.00328333,154.748,-29.098,146.588,0.34929,-0.0646844,-0.0500853,0.000450133,0.000662329,0.00161335,0.00284568,154.12,-25.9317,88.9173,0.147838,-0.159568,-0.155496,0.000375578,0.000558522,0.00140249,0.00214732,153.826,-29.4699,32.1244,0.0195137,0.00039019,-0.175303,0.000328777,0.000524905,0.00128731,0.0017983,4.55931,-16.8579,0.00151202,0.000619056,0.00964599,0.0227189,0.000950793,0.00100714,0.00238273,0.00322469
28,158.862,-30.2095,207.209,0.150376,0.0529131,0.0206197,0.000500359,0.000727599,0.0016984,0.00338873,154.748,-29.098,146.588,0.135886,-0.0601945,0.185057,0.000452918,0.000662154,0.0016147,0.00284988,154.12,-25.9317,88.9173,0.0236751,-0.158361,0.0713151,0.000418166,0.00061889,0.0015543,0.00238122,153.826,-29.4699,32.1244,-0.0205599,0.0061928,0.0464694,0.000354103,0.000565302,0.00138565,0.00193983,4.55931,-16.8579,0.00151202,-0.000300696,0.00195967,0.00321136,0.000941378,0.000994219,0.00235217,0.00318774
29,158.862,-30.2095,207.209,0.0805314,-0.0036136,0.0828502,0.000487756,0.000714195,0.00166393,0.00332272,154.748,-29.098,146.588,0.0865589,-0.0997788,0.268022,0.000432002,0.000632391,0.00154036,0.00272472,154.12,-25.9317,88.9173,0.000232571,-0.183859,0.150753,0.000409073,0.000602075,0.00151325,0.00231588,153.826,-29.4699,32.1244,-0.0221959,0.00215256,0.122158,0.00036449,0.00058122,0.00142587,0.0019945,4.55931,-16.8579,0.00151202,0.000178188,0.00445597,0.00387662,0.000935435,0.000988084,0.00233753,0.00316799
